Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,2.93,10.2,8.49,16.05,––,––,9.81,61.67
2013,4.45,18.51,14.09,23.44,16.31,2.07,5.4,89.04
2014,5.37,28.45,19.6,22.42,14.99,1.2,3.51,111.2
2015,4.41,34.64,19.33,19.61,11.72,0.97,2.89,118.25
2016,4.06,16.92,13.72,15.42,11.38,1.99,5.91,131.12
2017,5.7,23.47,17.44,23.03,14.58,1.66,4.26,182.63
2018,4.5,19.13,11.49,––,10.25,0.71,5.23,168.06
2019,4.01,39,9.8,––,8.96,1.41,2.56,158.7
2020,4.22,23.09,10.71,12.39,8.84,––,4.33,268.24
2021,4.36,32.71,10.67,17.67,9.65,––,3.06,307.9
