Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,0.98,8.69,1.67,1.56,7.62,1.52,11.5,27.16
2013,1.28,10.2,2.94,2.09,9.87,1.97,9.81,32.89
2014,1.22,9.58,3.51,1.51,9.67,1.93,10.44,28.92
2015,1.25,10.49,3.9,1.47,9.46,1.26,9.53,26.91
2016,1.33,11.05,4.75,1.24,10.79,––,9.05,28.9
2017,1.6,12.76,5.47,1.56,12.84,––,7.84,34.83
2018,1.62,7.2,5.75,1.48,10.85,––,13.89,36.26
2019,1.83,13.03,7.09,1.31,11.96,––,7.67,40.46
2020,1.49,6.98,5.56,0.95,9.49,––,14.32,33.06
2021,1.78,9.45,7.24,1.13,11.19,––,10.58,39.94
