Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,0.92,8.12,5.47,1.54,8.54,5.18,12.32,200.79
2013,1.09,10.22,6.49,1.65,9.97,6.56,9.78,239.03
2014,1.01,10.33,6.04,1.35,16.47,9.15,9.68,222.08
2015,1.17,19.51,7.89,1.09,29.76,––,5.12,192.01
2016,2.04,––,16.28,1.52,29.41,1.56,-0.68,260.1
2017,1.84,36.5,13.04,1.63,25.19,––,2.74,273.1
2018,1.34,14.64,7.51,1.35,12.52,1.1,6.83,233.37
2019,1.57,17.29,7.44,1.46,17.15,8.24,5.78,247.92
2020,1.51,––,11.24,1.23,31.65,0.82,-7.27,190.5
2021,1.67,22.65,10.24,1.67,11.92,––,4.41,257.78
