Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,2.11,16.06,12.23,2.19,12.61,0.95,6.23,103.86
2013,3.08,22.6,14.65,2.86,18.66,1.44,4.42,140.51
2014,3.39,22.11,16.94,3.56,19.27,1.63,4.52,171.54
2015,3.42,21.44,16.46,3.9,18.59,2.02,4.66,186.78
2016,3.07,18.19,12.93,3.85,17.45,2.17,5.5,181.42
2017,3.08,18.89,13.74,3.92,17.33,1.78,5.29,183.32
2018,2.78,13.12,11.56,3.35,14.88,1.68,7.62,181.2
2019,3.46,23.07,36.48,2.9,27.1,3.34,4.34,299.15
2020,5.01,––,43,3.92,89.29,2.97,-0.87,368.74
2021,4.2,139.54,50.86,3.18,33.67,1.13,0.72,323.21
