Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,0.76,15.36,10.97,3.28,14.03,2.31,6.51,9.98
2013,0.95,18.65,13.25,4.07,17.57,2.23,5.36,13.31
2014,1.1,23.68,20.38,4.67,21.19,2.61,4.22,17.02
2015,0.85,18.51,12,4.08,17.36,2.12,5.4,13.32
2016,0.94,20.64,14.3,4.27,19.12,2.13,4.85,14.76
2017,0.89,21.26,18.85,4.12,17.67,1.41,4.7,14.86
2018,0.77,19.32,11.8,3.88,15.95,1.17,5.18,16.57
2019,0.81,19.49,16.15,4.24,17.99,2.99,5.13,19.21
2020,0.79,323.97,9.17,4.81,17.42,2.46,0.31,18.4
2021,1.11,24.9,12.82,6.26,18.52,1.14,4.02,22.23
