Date,Close/Last,Volume,Open,High,Low
04/22/2022,$133.64,890600,$137.88,$138.14,$133.45
04/21/2022,$138.13,994506,$138.99,$141.1105,$137.685
04/20/2022,$137.67,779278,$135.33,$138.08,$135.33
04/19/2022,$133.82,558689,$131.33,$133.98,$131.32
04/18/2022,$131.14,481315,$130.31,$132.34,$130.31
04/14/2022,$130.94,444363,$131.82,$133.13,$130.87
04/13/2022,$131.52,568644,$131.67,$132.425,$130.445
04/12/2022,$131.69,567446,$131.6,$133.175,$131.11
04/11/2022,$130.66,460669,$132,$133.45,$130.5
04/08/2022,$132.02,992250,$129.25,$132.28,$128.26
04/07/2022,$129.2,595217,$127.49,$129.71,$125.99
04/06/2022,$127.61,718215,$126.03,$127.96,$125.32
04/05/2022,$126.9,854927,$128.54,$129.635,$126.69
04/04/2022,$129.28,1435245,$125.88,$129.7699,$124.85
04/01/2022,$125.93,687865,$127.21,$127.97,$125.45
03/31/2022,$126.02,911809,$128.42,$129.04,$126.01
03/30/2022,$128.83,586524,$129.59,$130.28,$128.21
03/29/2022,$130.28,542819,$128.5,$130.45,$128.135
03/28/2022,$127.64,539980,$128.3,$128.6859,$126.64
03/25/2022,$128.54,433791,$128.5,$128.77,$127.285
03/24/2022,$128.09,524356,$128.22,$128.87,$127.45
03/23/2022,$127.49,663136,$127.72,$127.98,$126.58
03/22/2022,$128.16,546941,$129.24,$129.36,$127.5
03/21/2022,$128.28,1124340,$129,$130,$126.63
03/18/2022,$129,1806586,$128.25,$129.55,$125.34
03/17/2022,$128.05,1083196,$126.93,$128.29,$126.93
03/16/2022,$128.07,1097302,$125.53,$128.12,$125.53
03/15/2022,$124.53,727891,$123.13,$124.855,$122.9
03/14/2022,$122.1,761585,$123.06,$124.9,$121.605
03/11/2022,$121.69,626199,$123.3,$124,$121.55
03/10/2022,$122.76,959162,$119.94,$123.02,$119
03/09/2022,$121.51,666041,$121.86,$123.1,$121.15
03/08/2022,$119.76,895863,$119.29,$122.68,$118.34
03/07/2022,$118.59,1245811,$122.63,$122.88,$118.17
03/04/2022,$122.59,838482,$122.11,$122.67,$120.62
03/03/2022,$123.83,676971,$124.63,$125.39,$122.89
03/02/2022,$124.92,939907,$122.2,$125.42,$121.45
03/01/2022,$120.27,766852,$122.1,$123.76,$119.64
02/28/2022,$122.16,922747,$121.64,$122.38,$120
02/25/2022,$123.46,618692,$120.98,$123.73,$120.79
02/24/2022,$120.86,962944,$116.28,$121.1255,$115.63
02/23/2022,$118.84,1178699,$123.5,$124.77,$118.67
02/22/2022,$123.59,915297,$126.18,$126.5899,$122.73
02/18/2022,$126.86,930521,$128.62,$128.875,$126.4939
02/17/2022,$127.61,902993,$130.38,$133.975,$127.57
02/16/2022,$129.96,698649,$128.29,$130.57,$127.58
02/15/2022,$129.01,619173,$128.83,$129.7,$127.58
02/14/2022,$127.06,795841,$126.44,$128.645,$125.98
02/11/2022,$126.69,503509,$127.79,$128.81,$126.1
02/10/2022,$127.39,743253,$129.65,$130.46,$126.59
02/09/2022,$132.1,425477,$131.05,$133.35,$131.05
02/08/2022,$130.12,477026,$128.99,$131.35,$128.48
02/07/2022,$128.21,558929,$130,$130.09,$128.13
02/04/2022,$129.82,507777,$131.68,$132.27,$128.52
02/03/2022,$132.76,439532,$135.06,$135.2,$132.35
02/02/2022,$135.24,614977,$134.25,$135.71,$133
02/01/2022,$134.28,574200,$133.96,$134.54,$131.575
01/31/2022,$133.23,1185054,$129.33,$133.27,$129.05
01/28/2022,$130.33,625168,$129.59,$130.64,$126.775
01/27/2022,$129.89,587628,$133.79,$134.94,$129.35
01/26/2022,$132.03,956877,$133,$134.57,$131.18
01/25/2022,$131.66,745041,$132.47,$133.365,$129.75
01/24/2022,$134.98,915449,$128.64,$135.44,$128.1159
01/21/2022,$130.58,555372,$131.45,$132.95,$130.19
01/20/2022,$131.5,566960,$134.55,$135.28,$131.07
01/19/2022,$134.35,542486,$137.05,$137.95,$134.33
01/18/2022,$136.57,639461,$136.82,$137.69,$134.46
01/14/2022,$138.11,498637,$137.8,$138.71,$136.63
01/13/2022,$139,483925,$138.71,$140.87,$138.37
01/12/2022,$138.89,608118,$138.52,$139.8,$137.645
01/11/2022,$137.41,563227,$137.9,$137.92,$135.53
01/10/2022,$138.04,597901,$138.65,$138.87,$136.51
01/07/2022,$138.94,450375,$140.05,$140.64,$138.87
01/06/2022,$140.3,475128,$139,$140.72,$138.07
01/05/2022,$138.94,687463,$140.98,$142.97,$138.86
