Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,0.6,15.77,7.72,1.22,9.56,0.45,6.34,105.7
2013,0.72,19.74,6.81,1.43,11.67,0.66,5.06,114.97
2014,0.52,10.26,5.23,1.01,9.8,1.28,9.75,96.06
2015,0.48,12.65,5.05,0.97,11.93,1.54,7.91,100.79
2016,0.44,16,5.68,0.93,11.61,1.63,6.25,89.93
2017,0.47,10.73,7.05,0.89,10.95,4.95,9.32,102.31
2018,0.33,4.58,5.8,0.61,6.58,––,21.81,89.87
2019,0.34,10.34,6.88,0.65,8.06,––,9.67,92.49
2020,0.39,20.35,4.72,0.63,8.35,13.06,4.92,92.67
2021,0.39,6.38,6.51,0.59,7.05,––,15.68,90.87
