Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,1.02,16.78,16.21,2.91,14.29,1.69,5.96,7.72
2013,1.39,23.16,19.14,3.6,18.98,1.87,4.32,11.73
2014,1.51,23.36,18.85,3.81,21.19,2.6,4.28,13.65
2015,2.31,31.13,21.56,5.23,27.4,4.38,3.21,20.98
2016,1.98,21.23,19.02,4.14,20.7,3.62,4.71,18.24
2017,2.14,23.18,19.42,3.9,20.96,3.4,4.31,19.08
2018,2.43,22.95,18.69,4.07,23.98,3.8,4.36,22.98
2019,2.59,25.06,26.65,4.07,26.18,6.33,3.99,23.68
2020,2.65,28.08,22.59,3.92,26.67,5.2,3.56,24.74
2021,2.35,29.4,26.68,3.8,24.88,3.35,3.4,29.17
