Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,1.99,9.68,5.63,1.99,9.92,1.53,10.33,97.23
2013,2.53,14.03,6.37,2.32,12.94,2.97,7.13,123.28
2014,3.36,17.28,8.94,3.07,15.29,2.36,5.79,169.98
2015,3.07,14.85,8.74,2.85,14.56,2.46,6.73,163.12
2016,3.05,17.03,9.26,2.72,12.84,2.57,5.87,181.73
2017,3.61,16.2,9.74,3.05,14.39,2.88,6.17,230.16
2018,3.22,14.57,7.48,2.96,10.22,1.09,6.86,226.62
2019,3.85,14.02,9,3.46,12.47,1.61,7.13,273.64
2020,2.74,9.79,6.05,2.71,10.83,1.85,10.22,220.68
2021,2.69,10,6.19,2.33,14.22,2.85,10,215.27
