Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,2.93,18.16,12.81,3,12.56,2.28,5.51,189.85
2013,3.73,20.44,15.78,3.7,15.24,3.17,4.89,248.22
2014,4.03,17.31,16.46,3.8,16.69,3.51,5.78,273.3
2015,4.11,19.68,15.62,3.97,15.77,4.56,5.08,266.66
2016,4.5,20.21,19.06,4.31,16.08,3.78,4.95,299.99
2017,5.17,24.3,17.79,5.07,17.92,2.98,4.12,394.3
2018,4.33,218.73,15.98,5.32,15.08,2.43,0.46,355.46
2019,4.82,27.78,16.92,6.6,16.05,3.43,3.6,395.28
2020,5.2,24.75,19.47,6.43,17.42,2.93,4.04,421.29
2021,5,25.57,17.58,6.41,16.42,1.68,3.91,453.29
