Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,3.26,16.46,12.92,5.78,14.86,1.62,6.08,99.74
2013,3.5,17.51,13.79,6.34,15.82,2.01,5.71,107.04
2014,3.33,18.44,13.11,6.62,16.89,2.58,5.42,102.12
2015,4.41,25.57,16.98,12.89,22.03,2.46,3.91,122.67
2016,4.32,22.88,16.24,––,19.65,1.89,4.37,124.82
2017,6.02,24.91,26.91,––,24.39,2.58,4.01,163.16
2018,6.64,26.86,21.43,––,21.51,2.48,3.72,165.53
2019,7.29,25.93,19.66,––,23.42,2.83,3.86,191.73
2020,8.47,32.76,26.16,––,25.32,3.08,3.05,207.55
2021,8.94,27.64,23.8,––,26.6,2.17,3.62,244.17
