Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,2.62,13.23,9.83,2.42,10.41,2.77,7.56,50.26
2013,3.49,15.34,12.51,3.06,14.33,3.12,6.52,56.9
2014,4.18,24.98,17.44,3.66,17.64,3.25,4,70.22
2015,3.93,46.62,17.66,2.07,17.67,1.72,2.15,126.71
2016,3.46,23.74,16.34,1.95,15.58,2.07,4.21,118.84
2017,3.75,22.18,20.21,2.12,17.01,3.14,4.51,124.81
2018,4.09,54.47,21.02,2.46,17.73,1.85,1.84,137.06
2019,4.96,32.88,20.4,3.01,20.58,2.94,3.04,167.29
2020,5.68,44.88,26.39,3.14,29.41,3.61,2.23,173.4
2021,4.41,29.81,19.59,2.68,18.18,1.93,3.35,154.05
