Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,3.11,14.68,7.44,3.08,8.15,1.11,6.81,169.54
2013,3.94,14.01,11.08,3.8,13.33,1.25,7.14,245.76
2014,4.25,18.22,12.02,4.23,16.08,1.76,5.49,316.25
2015,5,36.74,15.48,5.68,19.49,1.35,2.72,378.89
2016,5.79,29.73,13.74,6.83,21.1,2.58,3.36,420.92
2017,7.22,30.23,16.54,7.35,25.25,2.78,3.31,612.68
2018,6.88,41.8,17.53,9.08,23.36,1.88,2.39,726.36
2019,9.4,29.75,23.31,11.32,28.9,2.78,3.36,"1,139.77"
2020,11.59,35.87,25.76,13.6,33,2.57,2.79,"1,611.71"
2021,14.48,37.62,31.15,16.6,36.9,2.87,2.66,"2,455.15"
