Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,1.91,21.86,18.79,4.62,12.61,1.08,4.56,43.02
2013,2.73,26.75,23.23,6.16,25.06,1.86,3.74,66.03
2014,2.89,28.62,28.89,7.1,26.81,1.79,3.49,79.65
2015,3.51,30.34,24.51,7.96,30.12,2.01,3.3,102.74
2016,2.6,22.39,26.23,6.83,23.81,1.91,4.47,81.77
2017,3.02,27.08,30.59,8.64,27.4,2.05,3.69,99.9
2018,3.19,55.74,21.38,13.39,29.07,1.21,1.79,116.36
2019,3.98,35.42,32.5,16.89,35.59,2.52,2.82,161.36
2020,5.9,79.93,75.88,20.96,50.51,1.91,1.25,224.02
2021,5.82,43.75,39.16,17.66,47.17,3.52,2.29,261.17
