Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,0.71,27.32,11.44,1.79,15.63,0.96,3.66,16.21
2013,0.92,37.59,17.75,2.23,21.6,0.76,2.66,19.64
2014,0.75,23.36,14.01,2.02,16.21,0.49,4.28,18.67
2015,0.72,20.67,5.94,1.66,19.49,1.96,4.84,15.23
2016,1.21,37.2,12.12,2.46,18.08,1.91,2.69,20.97
2017,1.07,18.76,15.48,2.38,14.16,––,5.33,22.98
2018,0.69,7.91,7.56,1.62,8.85,16.7,12.64,18.19
2019,0.73,9.62,6.62,1.63,15.31,––,10.39,19.41
2020,0.81,37.72,5.57,1.56,17.86,––,2.65,18.32
2021,1.09,6.86,8.29,2.32,5.56,––,14.58,34.75
