Date,Close/Last,Volume,Open,High,Low
04/22/2022,$168.73,3140000,$171.12,$171.995,$168.63
04/21/2022,$170.78,2620265,$174.4,$174.54,$170.75
04/20/2022,$172.67,4116446,$169.63,$174.09,$169.63
04/19/2022,$169.56,3839487,$166.15,$170.2,$165.25
04/18/2022,$163,2502187,$162.57,$164.085,$162.18
04/14/2022,$162.7,2434102,$165.96,$166.38,$162.51
04/13/2022,$165,2556469,$165.26,$166.05,$163.52
04/12/2022,$165.33,3062220,$165.53,$166.8,$164.34
04/11/2022,$165.73,2455298,$168.33,$169.34,$164.42
04/08/2022,$168.65,1839618,$168.2,$169.39,$166.88
04/07/2022,$168.83,3142092,$168.44,$169.89,$166.72
04/06/2022,$170.11,3123020,$165,$170.66,$164.0105
04/05/2022,$166.28,3288984,$163.5,$168.33,$163.21
04/04/2022,$163.78,2448127,$166.13,$166.44,$162.17
04/01/2022,$165.8,2867475,$162.1,$166.22,$160.61
03/31/2022,$161.48,3933592,$164.89,$165.52,$161.4
03/30/2022,$164.14,2368873,$163.73,$164.25,$162.06
03/29/2022,$164.7,3300009,$161.68,$165.16,$160.22
03/28/2022,$160.35,2675628,$157.53,$161.01,$157.085
03/25/2022,$157.33,1896452,$156.15,$157.41,$154.29
03/24/2022,$155.89,2515797,$157.5,$157.9,$154.11
03/23/2022,$157.23,2477394,$158.02,$159.065,$156.89
03/22/2022,$158.67,3374204,$160.15,$160.79,$157.56
03/21/2022,$158.92,2702030,$160.45,$160.85,$157.29
03/18/2022,$160.16,6604944,$156.26,$160.43,$156.26
03/17/2022,$156.66,2218756,$153.73,$156.72,$152.08
03/16/2022,$154.57,3752723,$153.4,$155.27,$151.115
03/15/2022,$151.84,2171277,$151.42,$152.85,$149.47
03/14/2022,$149.17,2391370,$148.4,$150.3,$147.6
03/11/2022,$147.83,1997389,$152.22,$152.55,$147.68
03/10/2022,$151.08,1988450,$148.99,$151.54,$147.78
03/09/2022,$150.48,1895175,$149.18,$152,$148.32
03/08/2022,$146.99,3021350,$148.31,$150.3,$146.74
03/07/2022,$148.91,2590760,$150.59,$151.24,$148.54
03/04/2022,$150.84,2781648,$148.03,$150.96,$147.24
03/03/2022,$149.58,2248575,$148.86,$150.48,$147.3
03/02/2022,$147.64,2816579,$146.26,$148.53,$145.72
03/01/2022,$145.76,3458251,$146.73,$147.685,$145.0718
02/28/2022,$145.85,4213214,$146.49,$147.4,$143.89
02/25/2022,$148.45,2934561,$143.85,$148.505,$143.66
02/24/2022,$143.33,3439848,$138.47,$143.68,$137.898
02/23/2022,$140.76,2362807,$143.18,$144.15,$140.58
02/22/2022,$142.37,3243975,$143.06,$144.435,$141.64
02/18/2022,$142.55,2485161,$143.11,$144.235,$141.95
02/17/2022,$143.28,2703920,$143.25,$144.05,$142.2
02/16/2022,$144.38,2245647,$146.13,$146.94,$142.74
02/15/2022,$145.62,3064073,$146.55,$147.56,$145.22
02/14/2022,$145.34,3180101,$146.04,$148.075,$144.38
02/11/2022,$146.31,4395531,$149.35,$150.07,$145.17
02/10/2022,$148.43,3094092,$152.58,$154.06,$147.29
02/09/2022,$155.37,2278925,$152.7,$155.57,$152.7
02/08/2022,$151.19,2459590,$152.59,$152.83,$150.42
02/07/2022,$152.05,3816315,$153.26,$154.39,$151.635
02/04/2022,$153.49,1929785,$155.03,$155.78,$152.59
02/03/2022,$156.44,1968296,$156.06,$157.78,$155.78
02/02/2022,$157.33,2910564,$154.72,$157.96,$154.72
02/01/2022,$153.52,3349913,$157.41,$157.5,$152.33
01/31/2022,$156.82,3260482,$155.21,$157.27,$154.43
01/28/2022,$155.07,3645261,$149.32,$155.11,$146.39
01/27/2022,$148.61,4062436,$151.85,$154.15,$147.59
01/26/2022,$151.72,3698416,$154.16,$156.72,$150.72
01/25/2022,$153.96,3755474,$151.015,$154.71,$150.78
01/24/2022,$153.31,5717882,$155.42,$155.42,$149.13
01/21/2022,$155.43,4375019,$157.15,$157.9,$154.77
01/20/2022,$154.14,3494836,$151.99,$157,$151.62
01/19/2022,$153.59,4361874,$155.75,$159.21,$153.51
01/18/2022,$153.43,4121288,$151.57,$153.61,$150.495
01/14/2022,$152.74,2330274,$152.75,$153.16,$150.61
01/13/2022,$153.15,2108014,$153.34,$154.39,$152.9
01/12/2022,$153.24,2635836,$153,$155,$153
01/11/2022,$152.99,2656687,$153.24,$153.92,$151.4
01/10/2022,$153.02,4169557,$152.38,$153.33,$149.82
01/07/2022,$153.73,3449042,$156.5,$156.84,$153.43
01/06/2022,$156.57,3090419,$157.43,$157.45,$155.35
01/05/2022,$157.65,3818227,$161,$161.33,$157.37
01/04/2022,$161,4209392,$164.17,$165.33,$160.1
01/03/2022,$164.9,3438160,$168.46,$169.03,$162.04
12/31/2021,$168.36,2025837,$168.08,$169.93,$167.59
12/30/2021,$167.97,1504908,$167.585,$168.84,$166.69
12/29/2021,$167.68,1399800,$165.96,$168.56,$165.56
12/28/2021,$165.79,1749311,$165.96,$165.96,$164.02
12/27/2021,$165.89,1590984,$162.61,$165.96,$162.61
12/23/2021,$161.75,3047847,$162.52,$162.95,$160.275
12/22/2021,$162.26,2136908,$161.3,$162.52,$160.51
12/21/2021,$160.79,2185859,$162.24,$163.69,$160.09
12/20/2021,$161.39,2231005,$160.09,$162.38,$159.21
12/17/2021,$161.18,6983746,$162.86,$165.08,$160.8
12/16/2021,$163.25,3772257,$162.33,$163.99,$161.86
12/15/2021,$162.56,2979366,$159.54,$163.18,$159.1
12/14/2021,$158.73,3268779,$160.56,$160.86,$157.15
12/13/2021,$161.08,2550027,$158.23,$161.8,$157.31
12/10/2021,$159.08,2024774,$158,$159.75,$157.115
