Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,3.03,28.83,17.59,7.77,20.66,1.11,3.47,38.25
2013,4.01,"7,839.00",20.55,13.24,28.65,1.49,0.01,57.37
2014,3.81,30.28,103.01,11.68,26.18,1.46,3.3,61.77
2015,4.74,32.98,24.23,15.33,31.85,1.86,3.03,89.92
2016,3.87,29.22,18.04,13.75,25.97,1.8,3.42,82.24
2017,3.75,29.15,20.11,14.83,24.69,1.94,3.43,82.34
2018,3.63,19.88,7.52,68.46,24.27,2.05,5.03,80.57
2019,4.09,30.11,21.48,––,28.9,2.53,3.32,111.67
2020,5.38,135.42,79.13,––,37.04,1.64,0.74,146.56
2021,4.77,33.04,23.15,––,34.25,3.13,3.03,154.22
