Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,1.54,26.97,5.01,2.04,13.04,1.09,3.71,253.12
2013,1.5,24.42,5.16,2.14,13.11,1.2,4.1,258.61
2014,1.34,10.34,5.25,1.88,13.44,2.49,9.68,247.4
2015,1.34,38.23,5.73,1.74,11.96,2.88,2.62,332.18
2016,1.61,18.02,6.86,2.11,14.25,3.03,5.55,380.5
2017,1.5,18.6,6.1,1.91,12.92,2.12,5.38,353.46
2018,1.13,5.43,4.41,1.13,8.06,1.73,18.43,382.58
2019,1.57,17.52,5.88,1.55,10.85,4.61,5.71,464.38
2020,1.2,19.05,4.62,1.17,9.07,––,5.25,376.12
2021,1.02,189.23,4.34,1.07,7.57,9.83,0.53,356.51
