Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,0.55,13.15,6.81,2.35,11.36,1.2,7.61,54.09
2013,0.55,17.01,6.08,2.48,14.93,1.32,5.88,54.07
2014,0.66,31.9,12.7,2.95,24.57,4.5,3.14,61.88
2015,0.63,16.1,7.56,3.37,15.5,1.29,6.21,55.53
2016,0.61,13.35,8.8,3.67,13.26,1.63,7.49,52.17
2017,0.52,13.74,5.14,3.18,14.84,5.88,7.28,45.37
2018,0.48,11.02,5.88,3.11,11.7,1.79,9.08,47.35
2019,0.86,20.58,10.22,5.63,18.28,1.67,4.86,77.88
2020,1.01,23.41,8.95,6.64,20.79,1.79,4.27,97.22
2021,1.12,17.02,12.72,8.03,17.54,1.48,5.88,120.39
