Year,Price/Sales,Price/Earnings,Price/Cash Flow,Price/Book,Price/Forward Earnings,PEG Ratio,Earnings Yield %,Enterprise Value (Bil)
2012,0.47,16.67,7.86,1.9,10.81,1.25,6,39.53
2013,0.75,20.15,14.35,2.73,16.56,1.89,4.96,58.68
2014,0.95,35.77,15.33,3.49,21.93,0.9,2.8,73.73
2015,0.87,21.29,15.84,2.93,18.83,0.76,4.7,103.24
2016,0.77,21.66,11.51,2.95,16.42,1.72,4.62,98.53
2017,0.66,19.21,10.8,2.54,13.05,1.35,5.21,81.56
2018,0.5,12.61,8.67,2.52,10.48,2.44,7.93,79.48
2019,0.4,13.68,9.73,2.16,9.92,8.26,7.31,68.04
2020,0.25,76.69,6.4,1.63,8.2,––,1.3,74.08
2021,0.34,22.68,8.14,1.89,10.64,––,4.41,77.23
